codigo,descricao_oficial,vertical_id,vertical,sub_vertical,sinonimos,tags,secao,divisao,grupo,classe
0155-5/04,"Criação de aves, exceto galináceos",AGRO,Agronegócio,Agricultura e Lavouras,aves,Agro,A,01,01.5,01.55-5
0155-5/05,Produção de ovos,AGRO,Agronegócio,Agricultura e Lavouras,ovos,Agro,A,01,01.5,01.55-5
0159-8/01,Apicultura,AGRO,Agronegócio,Agricultura e Lavouras,"apicultura, apicultura, mel, abelha",Agro,A,01,01.5,01.59-8
0159-8/02,Criação de animais de estimação,AGRO,Agronegócio,Agricultura e Lavouras,animais de estimação,Agro,A,01,01.5,01.59-8
0159-8/03,Criação de escargô,AGRO,Agronegócio,Agricultura e Lavouras,escargô,Agro,A,01,01.5,01.59-8
0159-8/04,Criação de bicho-da-seda,AGRO,Agronegócio,Agricultura e Lavouras,bicho-da-seda,Agro,A,01,01.5,01.59-8
0159-8/99,Criação de outros animais não especificados anteriormente,AGRO,Agronegócio,Agricultura e Lavouras,outros animais,Agro,A,01,01.5,01.59-8
0161-0/01,Serviço de pulverização e controle de pragas agrícolas,AGRO,Agronegócio,Agricultura e Lavouras,"serviço de pulverização e controle de pragas agrícolas, serviços de plantio agrícola",Agro,A,01,01.6,01.61-0
0161-0/02,Serviço de poda de árvores para lavouras,AGRO,Agronegócio,Agricultura e Lavouras,serviço de poda de árvores para lavouras,Agro,A,01,01.6,01.61-0
0161-0/03,"Serviço de preparação de terreno, cultivo e colheita",AGRO,Agronegócio,Agricultura e Lavouras,"serviço de preparação de terreno, cultivo e colheita, colheita, mecanização",Agro,A,01,01.6,01.61-0
0161-0/99,Atividades de apoio à agricultura não especificadas anteriormente,AGRO,Agronegócio,Agricultura e Lavouras,apoio à agricultura,Agro,A,01,01.6,01.61-0
0162-8/01,Serviço de inseminação artificial em animais,AGRO,Agronegócio,Agricultura e Lavouras,serviço de inseminação artificial em animais,Agro,A,01,01.6,01.62-8
0162-8/02,Serviço de tosquiamento de ovinos,AGRO,Agronegócio,Agricultura e Lavouras,serviço de tosquiamento de ovinos,Agro,A,01,01.6,01.62-8
0162-8/03,Serviço de manejo de animais,AGRO,Agronegócio,Agricultura e Lavouras,serviço de manejo de animais,Agro,A,01,01.6,01.62-8
0162-8/99,Atividades de apoio à pecuária não especificadas anteriormente,AGRO,Agronegócio,Agricultura e Lavouras,apoio à pecuária,Agro,A,01,01.6,01.62-8
0163-6/00,Atividades de pós-colheita,AGRO,Agronegócio,Agricultura e Lavouras,pós-colheita,Agro,A,01,01.6,01.63-6
0170-9/00,Caça e serviços relacionados,AGRO,Agronegócio,Agricultura e Lavouras,caça e serviços relacionados,Agro,A,01,01.7,01.70-9
0210-1/01,Cultivo de eucalipto,AGRO,Agronegócio,Produção Florestal e Silvicultura,"eucalipto, reflorestamento, eucalipto, pinus",Agro,A,02,02.1,02.10-1
0210-1/02,Cultivo de acácia-negra,AGRO,Agronegócio,Produção Florestal e Silvicultura,acácia-negra,Agro,A,02,02.1,02.10-1
0210-1/03,Cultivo de pinus,AGRO,Agronegócio,Produção Florestal e Silvicultura,pinus,Agro,A,02,02.1,02.10-1
0210-1/04,Cultivo de teca,AGRO,Agronegócio,Produção Florestal e Silvicultura,teca,Agro,A,02,02.1,02.10-1
0210-1/05,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca",AGRO,Agronegócio,Produção Florestal e Silvicultura,espécies madeireiras,Agro,A,02,02.1,02.10-1
0210-1/06,Cultivo de mudas em viveiros florestais,AGRO,Agronegócio,Produção Florestal e Silvicultura,mudas em viveiros florestais,Agro,A,02,02.1,02.10-1
0210-1/07,Extração de madeira em florestas plantadas,AGRO,Agronegócio,Produção Florestal e Silvicultura,extração de madeira em florestas plantadas,Agro,A,02,02.1,02.10-1
0210-1/08,Produção de carvão vegetal - florestas plantadas,AGRO,Agronegócio,Produção Florestal e Silvicultura,carvão vegetal - florestas plantadas,Agro,A,02,02.1,02.10-1
0210-1/09,Produção de casca de acácia-negra - florestas plantadas,AGRO,Agronegócio,Produção Florestal e Silvicultura,casca de acácia-negra - florestas plantadas,Agro,A,02,02.1,02.10-1
0210-1/99,Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas,AGRO,Agronegócio,Produção Florestal e Silvicultura,produtos não madeireiros,Agro,A,02,02.1,02.10-1
0220-9/01,Extração de madeira em florestas nativas,AGRO,Agronegócio,Produção Florestal e Silvicultura,extração de madeira em florestas nativas,Agro,A,02,02.2,02.20-9
0220-9/02,Produção de carvão vegetal - florestas nativas,AGRO,Agronegócio,Produção Florestal e Silvicultura,carvão vegetal - florestas nativas,Agro,A,02,02.2,02.20-9
0220-9/03,Coleta de castanha-do-pará em florestas nativas,AGRO,Agronegócio,Produção Florestal e Silvicultura,coleta de castanha-do-pará em florestas nativas,Agro,A,02,02.2,02.20-9
0220-9/04,Coleta de látex em florestas nativas,AGRO,Agronegócio,Produção Florestal e Silvicultura,coleta de látex em florestas nativas,Agro,A,02,02.2,02.20-9
0220-9/05,Coleta de palmito em florestas nativas,AGRO,Agronegócio,Produção Florestal e Silvicultura,coleta de palmito em florestas nativas,Agro,A,02,02.2,02.20-9
0220-9/06,Conservação de florestas nativas,AGRO,Agronegócio,Produção Florestal e Silvicultura,conservação de florestas nativas,Agro,A,02,02.2,02.20-9
0220-9/99,Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas,AGRO,Agronegócio,Produção Florestal e Silvicultura,coleta de produtos não madeireiros,Agro,A,02,02.2,02.20-9
0230-6/00,Atividades de apoio à produção florestal,AGRO,Agronegócio,Produção Florestal e Silvicultura,apoio à produção florestal,Agro,A,02,02.3,02.30-6
0311-6/01,Pesca de peixes em água salgada,AGRO,Agronegócio,Pesca e Aquicultura,pesca de peixes em água salgada,Agro,A,03,03.1,03.11-6
0311-6/02,Pesca de crustáceos e moluscos em água salgada,AGRO,Agronegócio,Pesca e Aquicultura,pesca de crustáceos e moluscos em água salgada,Agro,A,03,03.1,03.11-6
0311-6/03,Coleta de outros produtos marinhos,AGRO,Agronegócio,Pesca e Aquicultura,coleta de outros produtos marinhos,Agro,A,03,03.1,03.11-6
0311-6/04,Atividades de apoio à pesca em água salgada,AGRO,Agronegócio,Pesca e Aquicultura,apoio à pesca em água salgada,Agro,A,03,03.1,03.11-6
0312-4/01,Pesca de peixes em água doce,AGRO,Agronegócio,Pesca e Aquicultura,pesca de peixes em água doce,Agro,A,03,03.1,03.12-4
0312-4/02,Pesca de crustáceos e moluscos em água doce,AGRO,Agronegócio,Pesca e Aquicultura,pesca de crustáceos e moluscos em água doce,Agro,A,03,03.1,03.12-4
