Mapeamento Completo — 1.331 subclasses CNAE 2.3;;;;
;;;;
Subclasse CNAE;Descrição Oficial;Vertical;;
0892-4/03;Refino e outros tratamentos do sal;Mineração e Extração;;
0893-2/00;Extração de gemas (pedras preciosas e semipreciosas);Mineração e Extração;;
0899-1/01;Extração de grafita;Mineração e Extração;;
0899-1/02;Extração de quartzo;Mineração e Extração;;
0899-1/03;Extração de amianto;Mineração e Extração;;
0899-1/99;Extração de outros minerais não metálicos não especificados anteriormente;Mineração e Extração;;
0910-6/00;Atividades de apoio à extração de petróleo e gás natural;Mineração e Extração;;
0990-4/01;Atividades de apoio à extração de minério de ferro;Mineração e Extração;;
0990-4/02;Atividades de apoio à extração de minerais metálicos não ferrosos;Mineração e Extração;;
0990-4/03;Atividades de apoio à extração de minerais não metálicos;Mineração e Extração;;
1011-2/01;Frigorífico - abate de bovinos;Alimentação e Bebidas;;
1011-2/02;Frigorífico - abate de equinos;Alimentação e Bebidas;;
1011-2/03;Frigorífico - abate de ovinos e caprinos;Alimentação e Bebidas;;
1011-2/04;Frigorífico - abate de bufalinos;Alimentação e Bebidas;;
1011-2/05;Matadouro - abate de reses sob contrato, exceto abate de suínos;Alimentação e Bebidas;;
1012-1/01;Abate de aves;Alimentação e Bebidas;;
1012-1/02;Abate de pequenos animais;Alimentação e Bebidas;;
1012-1/03;Frigorífico - abate de suínos;Alimentação e Bebidas;;
1012-1/04;Matadouro - abate de suínos sob contrato;Alimentação e Bebidas;;
1013-9/01;Fabricação de produtos de carne;Alimentação e Bebidas;;
1013-9/02;Preparação de subprodutos do abate;Alimentação e Bebidas;;
1020-1/01;Preservação de peixes, crustáceos e moluscos;Alimentação e Bebidas;;
1020-1/02;Fabricação de conservas de peixes, crustáceos e moluscos;Alimentação e Bebidas;;
1031-7/00;Fabricação de conservas de frutas;Alimentação e Bebidas;;
1032-5/01;Fabricação de conservas de palmito;Alimentação e Bebidas;;
1032-5/99;Fabricação de conservas de legumes e outros vegetais, exceto palmito;Alimentação e Bebidas;;
1033-3/01;Fabricação de sucos concentrados de frutas, hortaliças e legumes;Alimentação e Bebidas;;
1033-3/02;Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados;Alimentação e Bebidas;;
1041-4/00;Fabricação de óleos vegetais em bruto, exceto óleo de milho;Alimentação e Bebidas;;
1042-2/00;Fabricação de óleos vegetais refinados, exceto óleo de milho;Alimentação e Bebidas;;
1043-1/00;Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais;Alimentação e Bebidas;;
1051-1/00;Preparação do leite;Alimentação e Bebidas;;
1052-0/00;Fabricação de laticínios;Alimentação e Bebidas;;
1053-8/00;Fabricação de sorvetes e outros gelados comestíveis;Alimentação e Bebidas;;
1061-9/01;Beneficiamento de arroz;Alimentação e Bebidas;;
1061-9/02;Fabricação de produtos do arroz;Alimentação e Bebidas;;
1062-7/00;Moagem de trigo e fabricação de derivados;Alimentação e Bebidas;;
1063-5/00;Fabricação de farinha de mandioca e derivados;Alimentação e Bebidas;;
1064-3/00;Fabricação de farinha de milho e derivados, exceto óleos de milho;Alimentação e Bebidas;;
1065-1/01;Fabricação de amidos e féculas de vegetais;Alimentação e Bebidas;;
1065-1/02;Fabricação de óleo de milho em bruto;Alimentação e Bebidas;;
1065-1/03;Fabricação de óleo de milho refinado;Alimentação e Bebidas;;
1066-0/00;Fabricação de alimentos para animais;Alimentação e Bebidas;;
1069-4/00;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;Alimentação e Bebidas;;
1071-6/00;Fabricação de açúcar em bruto;Alimentação e Bebidas;;
1072-4/01;Fabricação de açúcar de cana refinado;Alimentação e Bebidas;;
1072-4/02;Fabricação de açúcar de cereais (dextrose) e de beterraba;Alimentação e Bebidas;;
