Mapeamento Completo — 1.331 subclasses CNAE 2.3;;;;
;;;;
Subclasse CNAE;Descrição Oficial;Vertical;;
4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;Automotivo;;
4530-7/04;Comércio a varejo de peças e acessórios usados para veículos automotores;Automotivo;;
4530-7/05;Comércio a varejo de pneumáticos e câmaras-de-ar;Automotivo;;
4530-7/06;Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores;Automotivo;;
4541-2/01;Comércio por atacado de motocicletas e motonetas;Automotivo;;
4541-2/02;Comércio por atacado de peças e acessórios para motocicletas e motonetas;Automotivo;;
4541-2/03;Comércio a varejo de motocicletas e motonetas novas;Automotivo;;
4541-2/04;Comércio a varejo de motocicletas e motonetas usadas;Automotivo;;
4541-2/06;Comércio a varejo de peças e acessórios novos para motocicletas e motonetas;Automotivo;;
4541-2/07;Comércio a varejo de peças e acessórios usados para motocicletas e motonetas;Automotivo;;
4542-1/01;Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios;Automotivo;;
4542-1/02;Comércio sob consignação de motocicletas e motonetas;Automotivo;;
4543-9/00;Manutenção e reparação de motocicletas e motonetas;Automotivo;;
4611-7/00;Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos;Atacado e Distribuição;;
4612-5/00;Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos;Atacado e Distribuição;;
4613-3/00;Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens;Atacado e Distribuição;;
4614-1/00;Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves;Atacado e Distribuição;;
4615-0/00;Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico;Atacado e Distribuição;;
4616-8/00;Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem;Atacado e Distribuição;;
4617-6/00;Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo;Atacado e Distribuição;;
4618-4/01;Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria;Atacado e Distribuição;;
4618-4/02;Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares;Atacado e Distribuição;;
4618-4/03;Representantes comerciais e agentes do comércio de jornais, revistas e outras publicações;Atacado e Distribuição;;
4618-4/99;Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente;Atacado e Distribuição;;
4619-2/00;Representantes comerciais e agentes do comércio de mercadorias em geral não especializado;Atacado e Distribuição;;
4621-4/00;Comércio atacadista de café em grão;Atacado e Distribuição;;
4622-2/00;Comércio atacadista de soja;Atacado e Distribuição;;
4623-1/01;Comércio atacadista de animais vivos;Atacado e Distribuição;;
4623-1/02;Comércio atacadista de couros, lãs, peles e outros subprodutos não comestíveis de origem animal;Atacado e Distribuição;;
4623-1/03;Comércio atacadista de algodão;Atacado e Distribuição;;
4623-1/04;Comércio atacadista de fumo em folha não beneficiado;Atacado e Distribuição;;
4623-1/05;Comércio atacadista de cacau;Atacado e Distribuição;;
4623-1/06;Comércio atacadista de sementes, flores, plantas e gramas;Atacado e Distribuição;;
4623-1/07;Comércio atacadista de sisal;Atacado e Distribuição;;
4623-1/08;Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada;Atacado e Distribuição;;
4623-1/09;Comércio atacadista de alimentos para animais;Atacado e Distribuição;;
4623-1/99;Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;Atacado e Distribuição;;
4631-1/00;Comércio atacadista de leite e laticínios;Atacado e Distribuição;;
4632-0/01;Comércio atacadista de cereais e leguminosas beneficiados;Atacado e Distribuição;;
4632-0/02;Comércio atacadista de farinhas, amidos e féculas;Atacado e Distribuição;;
4632-0/03;Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada;Atacado e Distribuição;;
4633-8/01;Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;Atacado e Distribuição;;
4633-8/02;Comércio atacadista de aves vivas e ovos;Atacado e Distribuição;;
4633-8/03;Comércio atacadista de coelhos e outros pequenos animais vivos para alimentação;Atacado e Distribuição;;
4634-6/01;Comércio atacadista de carnes bovinas e suínas e derivados;Atacado e Distribuição;;
4634-6/02;Comércio atacadista de aves abatidas e derivados;Atacado e Distribuição;;
4634-6/03;Comércio atacadista de pescados e frutos do mar;Atacado e Distribuição;;
4634-6/99;Comércio atacadista de carnes e derivados de outros animais;Atacado e Distribuição;;
4635-4/01;Comércio atacadista de água mineral;Atacado e Distribuição;;
4635-4/02;Comércio atacadista de cerveja, chope e refrigerante;Atacado e Distribuição;;
4635-4/03;Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada;Atacado e Distribuição;;
4635-4/99;Comércio atacadista de bebidas não especificadas anteriormente;Atacado e Distribuição;;
4636-2/01;Comércio atacadista de fumo beneficiado;Atacado e Distribuição;;
4636-2/02;Comércio atacadista de cigarros, cigarrilhas e charutos;Atacado e Distribuição;;
4637-1/01;Comércio atacadista de café torrado, moído e solúvel;Atacado e Distribuição;;
4637-1/02;Comércio atacadista de açúcar;Atacado e Distribuição;;
4637-1/03;Comércio atacadista de óleos e gorduras;Atacado e Distribuição;;
4637-1/04;Comércio atacadista de pães, bolos, biscoitos e similares;Atacado e Distribuição;;
4637-1/05;Comércio atacadista de massas alimentícias;Atacado e Distribuição;;
4637-1/06;Comércio atacadista de sorvetes;Atacado e Distribuição;;
4637-1/07;Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes;Atacado e Distribuição;;
4637-1/99;Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente;Atacado e Distribuição;;
4639-7/01;Comércio atacadista de produtos alimentícios em geral;Atacado e Distribuição;;
4639-7/02;Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada;Atacado e Distribuição;;
4641-9/01;Comércio atacadista de tecidos;Atacado e Distribuição;;
4641-9/02;Comércio atacadista de artigos de cama, mesa e banho;Atacado e Distribuição;;
4641-9/03;Comércio atacadista de artigos de armarinho;Atacado e Distribuição;;
4642-7/01;Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança;Atacado e Distribuição;;
4642-7/02;Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho;Atacado e Distribuição;;
4643-5/01;Comércio atacadista de calçados;Atacado e Distribuição;;
4643-5/02;Comércio atacadista de bolsas, malas e artigos de viagem;Atacado e Distribuição;;
4644-3/01;Comércio atacadista de medicamentos e drogas de uso humano;Atacado e Distribuição;;
4644-3/02;Comércio atacadista de medicamentos e drogas de uso veterinário;Atacado e Distribuição;;
4645-1/01;Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios;Atacado e Distribuição;;
4645-1/02;Comércio atacadista de próteses e artigos de ortopedia;Atacado e Distribuição;;
4645-1/03;Comércio atacadista de produtos odontológicos;Atacado e Distribuição;;
4646-0/01;Comércio atacadista de cosméticos e produtos de perfumaria;Atacado e Distribuição;;
4646-0/02;Comércio atacadista de produtos de higiene pessoal;Atacado e Distribuição;;
4647-8/01;Comércio atacadista de artigos de escritório e de papelaria;Atacado e Distribuição;;
4647-8/02;Comércio atacadista de livros, jornais e outras publicações;Atacado e Distribuição;;
4649-4/01;Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico;Atacado e Distribuição;;
4649-4/02;Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico;Atacado e Distribuição;;
4649-4/03;Comércio atacadista de bicicletas, triciclos e outros veículos recreativos;Atacado e Distribuição;;
4649-4/04;Comércio atacadista de móveis e artigos de colchoaria;Atacado e Distribuição;;
4649-4/05;"Comércio atacadista de artigos de tapeçaria; persianas e cortinas";Atacado e Distribuição;;
4649-4/06;Comércio atacadista de lustres, luminárias e abajures;Atacado e Distribuição;;
4649-4/07;Comércio atacadista de filmes, CDs, DVDs, fitas e discos;Atacado e Distribuição;;
4649-4/08;Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar;Atacado e Distribuição;;
4649-4/09;Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada;Atacado e Distribuição;;
4649-4/10;Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas;Atacado e Distribuição;;
4649-4/99;Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;Atacado e Distribuição;;
4651-6/01;Comércio atacadista de equipamentos de informática;Atacado e Distribuição;;
4651-6/02;Comércio atacadista de suprimentos para informática;Atacado e Distribuição;;
4652-4/00;Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação;Atacado e Distribuição;;
4661-3/00;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";Atacado e Distribuição;;
4662-1/00;"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças";Atacado e Distribuição;;
4663-0/00;"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";Atacado e Distribuição;;
4664-8/00;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças";Atacado e Distribuição;;
4665-6/00;"Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças";Atacado e Distribuição;;
4669-9/01;"Comércio atacadista de bombas e compressores; partes e peças";Atacado e Distribuição;;
4669-9/99;"Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças";Atacado e Distribuição;;
4671-1/00;Comércio atacadista de madeira e produtos derivados;Atacado e Distribuição;;
4672-9/00;Comércio atacadista de ferragens e ferramentas;Atacado e Distribuição;;
4673-7/00;Comércio atacadista de material elétrico;Atacado e Distribuição;;
4674-5/00;Comércio atacadista de cimento;Atacado e Distribuição;;
4679-6/01;Comércio atacadista de tintas, vernizes e similares;Atacado e Distribuição;;
4679-6/02;Comércio atacadista de mármores e granitos;Atacado e Distribuição;;
4679-6/03;Comércio atacadista de vidros, espelhos e vitrais;Atacado e Distribuição;;
4679-6/04;Comércio atacadista especializado de materiais de construção não especificados anteriormente;Atacado e Distribuição;;
4679-6/99;Comércio atacadista de materiais de construção em geral;Atacado e Distribuição;;
4681-8/01;Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador retalhista (TRR);Atacado e Distribuição;;
4681-8/02;Comércio atacadista de combustíveis realizado por transportador retalhista (TRR);Atacado e Distribuição;;
4681-8/03;Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante;Atacado e Distribuição;;
4681-8/04;Comércio atacadista de combustíveis de origem mineral em bruto;Atacado e Distribuição;;
4681-8/05;Comércio atacadista de lubrificantes;Atacado e Distribuição;;
4682-6/00;Comércio atacadista de gás liquefeito de petróleo (GLP);Atacado e Distribuição;;
4683-4/00;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;Atacado e Distribuição;;
4684-2/01;Comércio atacadista de resinas e elastômeros;Atacado e Distribuição;;
4684-2/02;Comércio atacadista de solventes;Atacado e Distribuição;;
4684-2/99;Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente;Atacado e Distribuição;;
4685-1/00;Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção;Atacado e Distribuição;;
4686-9/01;Comércio atacadista de papel e papelão em bruto;Atacado e Distribuição;;
4686-9/02;Comércio atacadista de embalagens;Atacado e Distribuição;;
4687-7/01;Comércio atacadista de resíduos de papel e papelão;Atacado e Distribuição;;
4687-7/02;Comércio atacadista de resíduos e sucatas não metálicos, exceto de papel e papelão;Atacado e Distribuição;;
4687-7/03;Comércio atacadista de resíduos e sucatas metálicos;Atacado e Distribuição;;
4689-3/01;Comércio atacadista de produtos da extração mineral, exceto combustíveis;Atacado e Distribuição;;
4689-3/02;Comércio atacadista de fios e fibras beneficiados;Atacado e Distribuição;;
4689-3/99;Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente;Atacado e Distribuição;;
4691-5/00;Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;Atacado e Distribuição;;
4692-3/00;Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários;Atacado e Distribuição;;
4693-1/00;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;Atacado e Distribuição;;
4711-3/01;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados;Varejo (geral);;
4711-3/02;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;Varejo (geral);;
4712-1/00;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Alimentação e Bebidas;;
4713-0/02;Lojas de variedades, exceto lojas de departamentos ou magazines;Varejo (geral);;
4713-0/04;Lojas de departamentos ou magazines, exceto lojas francas (Duty free);Varejo (geral);;
4713-0/05;Lojas francas (Duty Free) de aeroportos, portos e em fronteiras terrestres;Varejo (geral);;
4721-1/02;Padaria e confeitaria com predominância de revenda;Alimentação e Bebidas;;
4721-1/03;Comércio varejista de laticínios e frios;Alimentação e Bebidas;;
4721-1/04;Comércio varejista de doces, balas, bombons e semelhantes;Alimentação e Bebidas;;
4722-9/01;Comércio varejista de carnes - açougues;Alimentação e Bebidas;;
4722-9/02;Peixaria;Alimentação e Bebidas;;
4723-7/00;Comércio varejista de bebidas;Alimentação e Bebidas;;
4724-5/00;Comércio varejista de hortifrutigranjeiros;Alimentação e Bebidas;;
4729-6/01;Tabacaria;Alimentação e Bebidas;;
4729-6/02;Comércio varejista de mercadorias em lojas de conveniência;Varejo (geral);;
4729-6/99;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;Alimentação e Bebidas;;
4731-8/00;Comércio varejista de combustíveis para veículos automotores;Automotivo;;
4732-6/00;Comércio varejista de lubrificantes;Automotivo;;
4741-5/00;Comércio varejista de tintas e materiais para pintura;Construção e Reforma;;
4742-3/00;Comércio varejista de material elétrico;Construção e Reforma;;
4743-1/00;Comércio varejista de vidros;Construção e Reforma;;
4744-0/01;Comércio varejista de ferragens e ferramentas;Construção e Reforma;;
4744-0/02;Comércio varejista de madeira e artefatos;Construção e Reforma;;
4744-0/03;Comércio varejista de materiais hidráulicos;Construção e Reforma;;
4744-0/04;Comércio varejista de cal, areia, pedra britada, tijolos e telhas;Construção e Reforma;;
4744-0/05;Comércio varejista de materiais de construção não especificados anteriormente;Construção e Reforma;;
4744-0/06;Comércio varejista de pedras para revestimento;Construção e Reforma;;
4744-0/99;Comércio varejista de materiais de construção em geral;Construção e Reforma;;
4751-2/01;Comércio varejista especializado de equipamentos e suprimentos de informática;Móveis, Decoração e Casa;;
4751-2/02;Recarga de cartuchos para equipamentos de informática;Móveis, Decoração e Casa;;
4752-1/00;Comércio varejista especializado de equipamentos de telefonia e comunicação;Móveis, Decoração e Casa;;
4753-9/00;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;Móveis, Decoração e Casa;;
4754-7/01;Comércio varejista de móveis;Móveis, Decoração e Casa;;
4754-7/02;Comércio varejista de artigos de colchoaria;Móveis, Decoração e Casa;;
4754-7/03;Comércio varejista de artigos de iluminação;Móveis, Decoração e Casa;;
4755-5/01;Comércio varejista de tecidos;Móveis, Decoração e Casa;;
4755-5/02;Comercio varejista de artigos de armarinho;Móveis, Decoração e Casa;;
4755-5/03;Comercio varejista de artigos de cama, mesa e banho;Móveis, Decoração e Casa;;
4756-3/00;Comércio varejista especializado de instrumentos musicais e acessórios;Móveis, Decoração e Casa;;
4757-1/00;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;Móveis, Decoração e Casa;;
4759-8/01;Comércio varejista de artigos de tapeçaria, cortinas e persianas;Móveis, Decoração e Casa;;
4759-8/99;Comércio varejista de outros artigos de uso doméstico não especificados anteriormente;Móveis, Decoração e Casa;;
4761-0/01;Comércio varejista de livros;Mídia, Comunicação e Entretenimento;;
4761-0/02;Comércio varejista de jornais e revistas;Mídia, Comunicação e Entretenimento;;
4761-0/03;Comércio varejista de artigos de papelaria;Mídia, Comunicação e Entretenimento;;
4762-8/00;Comércio varejista de discos, CDs, DVDs e fitas;Mídia, Comunicação e Entretenimento;;
4763-6/01;Comércio varejista de brinquedos e artigos recreativos;Mídia, Comunicação e Entretenimento;;
4763-6/02;Comércio varejista de artigos esportivos;Mídia, Comunicação e Entretenimento;;
4763-6/03;"Comércio varejista de bicicletas e triciclos; peças e acessórios";Mídia, Comunicação e Entretenimento;;
4763-6/04;Comércio varejista de artigos de caça, pesca e camping;Mídia, Comunicação e Entretenimento;;
4763-6/05;"Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios";Mídia, Comunicação e Entretenimento;;
4771-7/01;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;Saúde e Farmacêutico;;
4771-7/02;Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas;Saúde e Farmacêutico;;
4771-7/03;Comércio varejista de produtos farmacêuticos homeopáticos;Saúde e Farmacêutico;;
4771-7/04;Comércio varejista de medicamentos veterinários;Saúde e Farmacêutico;;
4772-5/00;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;Saúde e Farmacêutico;;
4773-3/00;Comércio varejista de artigos médicos e ortopédicos;Saúde e Farmacêutico;;
4774-1/00;Comércio varejista de artigos de óptica;Saúde e Farmacêutico;;
4781-4/00;Comércio varejista de artigos do vestuário e acessórios;Moda, Têxtil e Calçados;;
4782-2/01;Comércio varejista de calçados;Moda, Têxtil e Calçados;;
4782-2/02;Comércio varejista de artigos de viagem;Moda, Têxtil e Calçados;;
4783-1/01;Comércio varejista de artigos de joalheria;Moda, Têxtil e Calçados;;
4783-1/02;Comércio varejista de artigos de relojoaria;Moda, Têxtil e Calçados;;
4784-9/00;Comércio varejista de gás liqüefeito de petróleo (GLP);Móveis, Decoração e Casa;;
4785-7/01;Comércio varejista de antiguidades;Varejo (geral);;
4785-7/99;Comércio varejista de outros artigos usados;Varejo (geral);;
4789-0/01;Comércio varejista de suvenires, bijuterias e artesanatos;Varejo (geral);;
4789-0/02;Comércio varejista de plantas e flores naturais;Varejo (geral);;
4789-0/03;Comércio varejista de objetos de arte;Varejo (geral);;
4789-0/04;Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;Pet e Veterinária;;
4789-0/05;Comércio varejista de produtos saneantes domissanitários;Varejo (geral);;
4789-0/06;Comércio varejista de fogos de artifício e artigos pirotécnicos;Varejo (geral);;
4789-0/07;Comércio varejista de equipamentos para escritório;Varejo (geral);;
4789-0/08;Comércio varejista de artigos fotográficos e para filmagem;Varejo (geral);;
4789-0/09;Comércio varejista de armas e munições;Varejo (geral);;
4789-0/99;Comércio varejista de outros produtos não especificados anteriormente;Varejo (geral);;
4911-6/00;Transporte ferroviário de carga;Transporte e Logística;;
4912-4/01;Transporte ferroviário de passageiros intermunicipal e interestadual;Transporte e Logística;;
4912-4/02;Transporte ferroviário de passageiros municipal e em região metropolitana;Transporte e Logística;;
4912-4/03;Transporte metroviário;Transporte e Logística;;
4921-3/01;Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;Transporte e Logística;;
4921-3/02;Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana;Transporte e Logística;;
4922-1/01;Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana;Transporte e Logística;;
4922-1/02;Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual;Transporte e Logística;;
4922-1/03;Transporte rodoviário coletivo de passageiros, com itinerário fixo, internacional;Transporte e Logística;;
4923-0/01;Serviço de táxi;Transporte e Logística;;
4923-0/02;Serviço de transporte de passageiros - locação de automóveis com motorista;Transporte e Logística;;
4924-8/00;Transporte escolar;Transporte e Logística;;
4929-9/01;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal;Transporte e Logística;;
4929-9/02;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional;Transporte e Logística;;
4929-9/03;Organização de excursões em veículos rodoviários próprios, municipal;Transporte e Logística;;
4929-9/04;Organização de excursões em veículos rodoviários próprios, intermunicipal, interestadual e internacional;Transporte e Logística;;
4929-9/99;Outros transportes rodoviários de passageiros não especificados anteriormente;Transporte e Logística;;
4930-2/01;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;Transporte e Logística;;
4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;Transporte e Logística;;
4930-2/03;Transporte rodoviário de produtos perigosos;Transporte e Logística;;
4930-2/04;Transporte rodoviário de mudanças;Transporte e Logística;;
4940-0/00;Transporte dutoviário;Transporte e Logística;;
4950-7/00;Trens turísticos, teleféricos e similares;Transporte e Logística;;
5011-4/01;Transporte marítimo de cabotagem - Carga;Transporte e Logística;;
5011-4/02;Transporte marítimo de cabotagem - Passageiros;Transporte e Logística;;
5012-2/01;Transporte marítimo de longo curso - Carga;Transporte e Logística;;
5012-2/02;Transporte marítimo de longo curso - Passageiros;Transporte e Logística;;
5021-1/01;Transporte por navegação interior de carga, municipal, exceto travessia;Transporte e Logística;;
5021-1/02;Transporte por navegação interior de carga, intermunicipal, interestadual e internacional, exceto travessia;Transporte e Logística;;
5022-0/01;Transporte por navegação interior de passageiros em linhas regulares, municipal, exceto travessia;Transporte e Logística;;
5022-0/02;Transporte por navegação interior de passageiros em linhas regulares, intermunicipal, interestadual e internacional, exceto travessia;Transporte e Logística;;
5030-1/01;Navegação de apoio marítimo;Transporte e Logística;;
5030-1/02;Navegação de apoio portuário;Transporte e Logística;;
5030-1/03;Serviço de rebocadores e empurradores;Transporte e Logística;;
5091-2/01;Transporte por navegação de travessia, municipal;Transporte e Logística;;
5091-2/02;Transporte por navegação de travessia, intermunicipal, interestadual e internacional;Transporte e Logística;;
5099-8/01;Transporte aquaviário para passeios turísticos;Transporte e Logística;;
5099-8/99;Outros transportes aquaviários não especificados anteriormente;Transporte e Logística;;
5111-1/00;Transporte aéreo de passageiros regular;Transporte e Logística;;
5112-9/01;Serviço de táxi aéreo e locação de aeronaves com tripulação;Transporte e Logística;;
5112-9/99;Outros serviços de transporte aéreo de passageiros não regular;Transporte e Logística;;
5120-0/00;Transporte aéreo de carga;Transporte e Logística;;
5130-7/00;Transporte espacial;Transporte e Logística;;
5211-7/01;Armazéns gerais - emissão de warrant;Transporte e Logística;;
5211-7/02;Guarda-móveis;Transporte e Logística;;
5211-7/99;Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis;Transporte e Logística;;
5212-5/00;Carga e descarga;Transporte e Logística;;
5221-4/00;Concessionárias de rodovias, pontes, túneis e serviços relacionados;Transporte e Logística;;
5222-2/00;Terminais rodoviários e ferroviários;Transporte e Logística;;
5223-1/00;Estacionamento de veículos;Transporte e Logística;;
5229-0/01;Serviços de apoio ao transporte por táxi, inclusive centrais de chamada;Transporte e Logística;;
5229-0/02;Serviços de reboque de veículos;Transporte e Logística;;
5229-0/99;Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente;Transporte e Logística;;
5231-1/01;Administração da infraestrutura portuária;Transporte e Logística;;
5231-1/02;Atividades do Operador Portuário;Transporte e Logística;;
5231-1/03;Gestão de terminais aquaviários;Transporte e Logística;;
5232-0/00;Atividades de agenciamento marítimo;Transporte e Logística;;
5239-7/01;Serviços de praticagem;Transporte e Logística;;
5239-7/99;Atividades auxiliares dos transportes aquaviários não especificadas anteriormente;Transporte e Logística;;
5240-1/01;Operação dos aeroportos e campos de aterrissagem;Transporte e Logística;;
5240-1/99;Atividades auxiliares dos transportes aéreos, exceto operação dos aeroportos e campos de aterrissagem;Transporte e Logística;;
5250-8/01;Comissaria de despachos;Transporte e Logística;;
5250-8/02;Atividades de despachantes aduaneiros;Transporte e Logística;;
5250-8/03;Agenciamento de cargas, exceto para o transporte marítimo;Transporte e Logística;;
5250-8/04;Organização logística do transporte de carga;Transporte e Logística;;
5250-8/05;Operador de transporte multimodal - OTM;Transporte e Logística;;
5310-5/01;Atividades do Correio Nacional;Transporte e Logística;;
5310-5/02;Atividades de franqueadas e permissionárias do Correio Nacional;Transporte e Logística;;
5320-2/01;Serviços de malote não realizados pelo Correio Nacional;Transporte e Logística;;
5320-2/02;Serviços de entrega rápida;Transporte e Logística;;
5510-8/01;Hotéis;Turismo, Hotelaria e Eventos;;
5510-8/02;Apart-hotéis;Turismo, Hotelaria e Eventos;;
5510-8/03;Motéis;Turismo, Hotelaria e Eventos;;
5590-6/01;Albergues, exceto assistenciais;Turismo, Hotelaria e Eventos;;
5590-6/02;Campings;Turismo, Hotelaria e Eventos;;
5590-6/03;Pensões (alojamento);Turismo, Hotelaria e Eventos;;
5590-6/99;Outros alojamentos não especificados anteriormente;Turismo, Hotelaria e Eventos;;
5611-2/01;Restaurantes e similares;Alimentação e Bebidas;;
5611-2/03;Lanchonetes, casas de chá, de sucos e similares;Alimentação e Bebidas;;
5611-2/04;Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento;Alimentação e Bebidas;;
5611-2/05;Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento;Alimentação e Bebidas;;
5612-1/00;Serviços ambulantes de alimentação;Alimentação e Bebidas;;
5620-1/01;Fornecimento de alimentos preparados preponderantemente para empresas;Alimentação e Bebidas;;
5620-1/02;Serviços de alimentação para eventos e recepções - bufê;Alimentação e Bebidas;;
5620-1/03;Cantinas - serviços de alimentação privativos;Alimentação e Bebidas;;
5620-1/04;Fornecimento de alimentos preparados preponderantemente para consumo domiciliar;Alimentação e Bebidas;;
5811-5/00;Edição de livros;Mídia, Comunicação e Entretenimento;;
5812-3/01;Edição de jornais diários;Mídia, Comunicação e Entretenimento;;
5812-3/02;Edição de jornais não diários;Mídia, Comunicação e Entretenimento;;
5813-1/00;Edição de revistas;Mídia, Comunicação e Entretenimento;;
5819-1/00;Edição de cadastros, listas e outros produtos gráficos;Mídia, Comunicação e Entretenimento;;
5821-2/00;Edição integrada à impressão de livros;Mídia, Comunicação e Entretenimento;;
5822-1/01;Edição integrada à impressão de jornais diários;Mídia, Comunicação e Entretenimento;;
5822-1/02;Edição integrada à impressão de jornais não diários;Mídia, Comunicação e Entretenimento;;
5823-9/00;Edição integrada à impressão de revistas;Mídia, Comunicação e Entretenimento;;
5829-8/00;Edição integrada à impressão de cadastros, listas e outros produtos gráficos;Mídia, Comunicação e Entretenimento;;
5911-1/01;Estúdios cinematográficos;Mídia, Comunicação e Entretenimento;;
5911-1/02;Produção de filmes para publicidade;Mídia, Comunicação e Entretenimento;;
5911-1/99;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Mídia, Comunicação e Entretenimento;;
5912-0/01;Serviços de dublagem;Mídia, Comunicação e Entretenimento;;
5912-0/02;Serviços de mixagem sonora em produção audiovisual;Mídia, Comunicação e Entretenimento;;
5912-0/99;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Mídia, Comunicação e Entretenimento;;
5913-8/00;Distribuição cinematográfica, de vídeo e de programas de televisão;Mídia, Comunicação e Entretenimento;;
5914-6/00;Atividades de exibição cinematográfica;Mídia, Comunicação e Entretenimento;;
5920-1/00;Atividades de gravação de som e de edição de música;Mídia, Comunicação e Entretenimento;;
6010-1/00;Atividades de rádio;Mídia, Comunicação e Entretenimento;;
6021-7/00;Atividades de televisão aberta;Mídia, Comunicação e Entretenimento;;
6022-5/01;Programadoras;Mídia, Comunicação e Entretenimento;;
6022-5/02;Atividades relacionadas à televisão por assinatura, exceto programadoras;Mídia, Comunicação e Entretenimento;;
